Date,Time,Ptch(rad),Roll(rad),Yaw(rad),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),FM,GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),VSpd(m/s),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,arm,SG,SH,SI,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-05-04,13:36:30.030,-0.24,0.00,0.46,-35,0,100,13,0,5,50,-26,100,15,"OK",53.759527 -1.543953,0.2,231.40,-1,8,12.4,0.5,41,95,-0.1,4,2,-1010,0,12,-1024,-93,-1024,1024,-1,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1500,995,1501,2012,1500,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,13:36:30.530,-0.24,0.00,0.46,-45,0,100,14,0,5,50,-46,100,15,"OK",53.759527 -1.543953,0.2,231.40,-1,8,12.4,0.5,41,95,-0.1,4,1,-609,-1,13,-1024,-93,-1024,1024,-1,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1500,1196,1501,2012,1500,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,13:36:31.030,-0.25,0.00,0.46,-51,0,100,12,0,5,50,-47,100,13,"OK",53.759527 -1.543953,0.2,231.40,-1,8,12.4,0.5,41,95,-0.1,363,-1,-348,-3,13,-1024,-93,-1024,1024,-1,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1499,1500,1326,1634,2012,1501,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,13:36:31.530,-0.25,0.00,0.46,-48,0,100,13,0,5,50,-34,100,14,"OK",53.759527 -1.543953,0.2,231.40,-1,8,12.4,0.5,41,95,-0.1,217,-1,451,-3,12,-1024,-93,-1024,1024,-1,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1499,1500,1725,1577,2012,1501,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,13:36:32.030,-0.25,0.00,0.46,-44,0,100,14,0,5,50,-36,100,14,"MANU",53.759527 -1.543953,0.2,231.40,-1,8,12.4,0.5,41,95,-0.1,-751,0,66,0,13,-1024,-93,-1024,1024,-1,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1500,1533,1177,2012,1500,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,13:36:32.530,-0.25,0.00,0.46,-42,0,99,14,0,5,50,-29,100,14,"MANU",53.759527 -1.543953,0.2,231.40,-1,8,12.4,0.5,41,95,0.0,-143,0,-30,1,12,-1024,-93,-1024,1024,-1,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1500,1485,1450,2012,1500,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,13:36:33.030,-0.25,0.00,0.46,-38,0,99,14,0,5,50,-22,100,15,"MANU",53.759527 -1.543953,0.2,231.40,-1,8,12.4,0.5,41,95,0.0,-428,-3,773,4,12,-1024,-93,-1024,1024,-1,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1501,1499,1886,1339,2012,1499,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,13:36:33.530,-0.25,0.00,0.46,-32,0,100,14,0,5,50,-24,100,14,"MANU",53.759527 -1.543953,0.2,231.40,-1,8,12.4,0.5,41,95,0.0,1,-2,1024,2,12,-1024,-93,-1024,1024,-1,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1500,2012,1500,2012,1500,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,13:36:34.030,-0.25,0.00,0.46,-35,0,100,14,0,5,50,-39,100,14,"MANU",53.759527 -1.543953,0.2,231.40,-1,8,12.4,0.5,41,95,0.0,385,-110,814,-3,12,-1024,-93,-1024,1024,-1,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1499,1471,1907,1643,2012,1501,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,13:36:34.530,-0.25,0.00,0.46,-48,0,100,14,0,5,50,-46,100,14,"MANU",53.759527 -1.543955,0.4,251.50,-1,8,12.4,0.5,41,95,0.0,23,-598,1023,-276,13,-1024,-93,-1024,1024,-1,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1419,1333,2011,1508,2012,1581,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
