Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat%(%),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,arm,SG,SH,SI,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-05-04,12:51:42.230,-19,-22,100,11,0,8,25,-21,100,11,16.7,0.0,0,0,53.759500 -1.544084,0.0,-308.00,143,8,7,-1,126,-2,11,-1024,-92,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000002,1397,1473,1563,1502,1500,1420,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:43.230,-20,-22,100,11,0,8,25,-20,100,11,16.6,0.0,0,0,53.759500 -1.544084,0.0,-308.00,143,8,6,0,132,-4,11,-1024,-93,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000002,1397,1472,1566,1501,1500,1421,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:44.230,-20,-22,100,11,0,8,25,-18,100,12,16.6,0.0,0,0,53.759500 -1.544086,2.6,323.04,143,8,622,2,-243,-9,11,-1024,-93,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000002,1399,1472,1379,1701,1500,1422,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:45.230,-23,-20,100,11,1,8,25,-16,100,11,16.6,0.0,0,0,53.759500 -1.544086,2.6,323.04,143,8,36,0,-620,-3,11,-1024,-93,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000002,1397,1472,1190,1510,1500,1421,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:46.230,-23,-20,100,11,1,8,25,-19,100,11,16.6,0.0,0,0,53.759513 -1.544108,5.7,326.91,143,8,4,2,-1024,-2,11,-1024,-93,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000002,1397,1472,988,1501,1500,1420,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:47.230,-23,-20,100,11,1,8,25,-19,100,9,16.7,0.0,0,0,53.759513 -1.544108,5.7,326.91,143,8,4,2,-1024,-2,11,-1024,-93,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000007,1397,1472,988,1501,1500,1420,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:48.230,-23,-19,100,11,1,8,25,-19,100,10,16.7,0.0,0,0,53.759520 -1.544123,0.0,326.16,143,8,4,2,-1024,-2,11,-1024,-93,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000007,1397,1472,988,1501,1500,1420,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:49.230,-23,-19,100,11,1,8,25,-19,100,10,16.7,0.0,0,0,53.759520 -1.544123,0.0,326.16,143,8,4,2,-1024,-3,11,-1024,-92,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000007,1397,1472,988,1501,1500,1421,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:50.230,-23,-18,100,11,1,8,25,-17,100,10,16.7,0.0,0,0,53.759520 -1.544125,0.0,326.95,143,8,4,2,-1024,-2,11,-1024,-93,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000007,1397,1472,988,1501,1500,1420,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:51.230,-23,-19,100,11,1,8,25,-19,100,11,16.7,0.0,0,0,53.759520 -1.544125,0.0,326.95,143,8,4,2,-1024,-2,11,-1024,-93,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000007,1397,1472,988,1501,1500,1420,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:52.230,-23,-19,100,11,1,8,25,-20,100,11,16.7,0.0,0,0,53.759520 -1.544125,0.0,-325.68,143,8,4,2,-1024,-2,11,-1024,-92,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000007,1397,1472,988,1501,1500,1420,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:53.230,-23,-20,100,11,1,8,25,-19,100,10,16.7,0.0,0,0,53.759520 -1.544125,0.0,-325.68,143,8,1,2,-1024,-3,11,-1024,-93,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000007,1397,1472,988,1500,1500,1421,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2026-05-04,12:51:54.230,-23,-20,100,11,1,8,25,-20,100,11,16.7,0.0,0,0,53.759520 -1.544126,0.0,-325.68,143,8,-1024,-4,207,-4,11,-1024,-93,-1024,1024,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000002,1397,1473,1603,1112,1500,1421,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
